image_id,psnr,ssim,time_seconds
000000406570.jpg,23.5275,0.8751,12.635
000000407646.jpg,18.7248,0.7803,8.838
000000407650.jpg,17.067,0.7548,12.183
000000409198.jpg,13.031,0.5185,12.487
000000409268.jpg,10.9511,0.444,16.236
000000411953.jpg,13.1395,0.4058,8.017
000000412286.jpg,22.84,0.8988,6.84
000000414133.jpg,10.8773,0.3925,14.66
000000414261.jpg,17.5226,0.7627,12.465
000000415748.jpg,14.0775,0.6245,12.382
000000415882.jpg,6.4456,0.2547,15.415
000000419096.jpg,24.3596,0.9498,18.114
000000419312.jpg,14.6077,0.6037,7.901
000000420230.jpg,7.837,0.1938,12.368
000000426253.jpg,15.3916,0.5806,12.605
000000426372.jpg,17.8031,0.7686,12.41
000000428867.jpg,14.7458,0.6859,7.114
000000430875.jpg,16.441,0.6668,8.033
000000430973.jpg,11.1822,0.468,14.641
000000432553.jpg,13.9148,0.5089,12.354
000000433134.jpg,13.3596,0.6857,15.403
000000434548.jpg,11.7473,0.5218,14.835
000000436315.jpg,15.7993,0.6581,14.683
000000436883.jpg,14.8435,0.6629,12.39
000000437351.jpg,13.4839,0.5828,8.865
000000438304.jpg,12.6845,0.5042,14.439
000000439994.jpg,11.65,0.5167,12.202
000000440336.jpg,14.9325,0.7456,6.914
000000442661.jpg,14.0846,0.6054,14.84
000000445602.jpg,12.3893,0.5899,14.653
000000446117.jpg,19.9583,0.8892,12.631
000000448263.jpg,18.8126,0.7975,2.83
000000450202.jpg,16.0589,0.7755,8.011
000000450399.jpg,16.9217,0.7356,14.649
000000450488.jpg,22.3107,0.874,6.768
000000452084.jpg,18.3033,0.7393,20.168
000000452122.jpg,19.4337,0.8352,12.431
000000453634.jpg,19.5178,0.7572,14.537
000000457848.jpg,17.4432,0.7946,12.27
000000460379.jpg,13.3583,0.683,12.558
000000460682.jpg,6.5915,0.2714,4.334
000000460927.jpg,7.7239,0.2161,9.056
000000461275.jpg,11.6153,0.4597,6.642
000000463283.jpg,13.9233,0.6164,18.342
000000466602.jpg,14.3171,0.4778,14.636
000000467848.jpg,11.111,0.4454,15.275
000000473118.jpg,20.0503,0.7838,7.165
000000474078.jpg,9.6388,0.4338,14.751
000000475678.jpg,14.7256,0.6306,14.377
000000477805.jpg,22.3712,0.6883,12.267
000000477955.jpg,7.4855,0.2849,15.031
000000478420.jpg,15.3686,0.7148,14.882
000000479596.jpg,13.9154,0.6691,12.387
000000480021.jpg,13.6549,0.5857,15.038
000000480212.jpg,13.9027,0.5433,14.414
000000481573.jpg,18.9085,0.7738,21.728
000000481582.jpg,19.447,0.7572,12.362
000000482978.jpg,12.5455,0.5964,10.019
000000483531.jpg,23.2035,0.8068,14.904
000000486046.jpg,19.5824,0.8425,14.934
000000488385.jpg,13.8154,0.5687,14.872
000000490413.jpg,13.9139,0.664,5.639
000000492110.jpg,19.2044,0.8485,12.756
000000494634.jpg,13.7014,0.6257,14.651
000000500423.jpg,18.8867,0.7932,12.29
000000501243.jpg,12.9145,0.6733,12.419
000000501368.jpg,12.9277,0.5414,7.611
000000502910.jpg,14.757,0.5997,12.734
000000504074.jpg,24.7719,0.9288,12.136
000000505789.jpg,12.259,0.6025,14.609
000000507042.jpg,21.0378,0.8935,12.43
000000508730.jpg,11.4804,0.3596,15.097
000000508917.jpg,12.9811,0.5399,10.479
000000509260.jpg,16.4575,0.7657,8.141
000000509735.jpg,14.5597,0.6673,13.274
000000511384.jpg,11.3485,0.5503,12.865
000000511760.jpg,16.2152,0.7786,7.656
000000512194.jpg,16.7744,0.7189,14.763
000000512248.jpg,16.4786,0.759,14.687
000000512985.jpg,13.6192,0.6158,15.125
000000514797.jpg,14.3722,0.6173,13.068
000000515579.jpg,6.3714,0.2483,6.364
000000517056.jpg,23.1258,0.8654,14.606
000000517687.jpg,11.0197,0.4484,9.973
000000518213.jpg,11.4377,0.5205,15.115
000000520707.jpg,13.3562,0.5106,15.141
000000521819.jpg,8.1384,0.4626,15.032
000000522638.jpg,22.5576,0.895,12.484
000000523782.jpg,14.1886,0.6468,14.963
000000523957.jpg,14.9858,0.729,13.337
000000524742.jpg,14.5592,0.5728,14.716
000000525322.jpg,18.0513,0.7995,13.033
000000526392.jpg,25.2872,0.9373,6.925
000000527029.jpg,18.4182,0.8049,21.668
000000527220.jpg,14.1927,0.6357,2.976
000000528399.jpg,16.104,0.6788,12.811
000000529528.jpg,19.3965,0.9324,6.829
000000532058.jpg,20.1164,0.8145,14.576
000000532761.jpg,18.6817,0.6786,14.799
000000533145.jpg,17.1373,0.5238,7.9
000000533206.jpg,22.2165,0.8699,12.584
000000534827.jpg,20.8088,0.8709,18.589
000000537506.jpg,22.0624,0.8942,10.571
000000540414.jpg,15.7672,0.7617,14.774
000000540466.jpg,15.5502,0.7313,12.597
000000542423.jpg,14.6361,0.6778,12.82
000000543043.jpg,10.3047,0.4503,15.087
000000544811.jpg,12.8878,0.7051,13.055
000000549055.jpg,13.5021,0.6025,8.502
000000549674.jpg,14.866,0.6587,15.698
000000550084.jpg,13.9769,0.62,7.873
000000550714.jpg,11.8206,0.4116,14.9
000000551822.jpg,13.3674,0.4617,13.696
000000552612.jpg,26.4528,0.896,18.459
000000553339.jpg,17.5802,0.763,8.117
000000553776.jpg,12.6558,0.4304,15.474
000000555050.jpg,12.1193,0.5138,6.572
000000556765.jpg,11.2189,0.4853,12.336
000000556873.jpg,19.0656,0.8402,12.242
000000557672.jpg,19.6782,0.7914,12.76
000000558073.jpg,32.2067,0.9628,7.74
000000561679.jpg,10.3155,0.4512,14.891
000000561889.jpg,12.8949,0.5218,14.333
000000562243.jpg,22.2135,0.8297,21.055
000000563470.jpg,13.1544,0.6299,12.823
000000566758.jpg,12.8616,0.549,14.791
000000567432.jpg,13.8972,0.3923,13.214
000000568195.jpg,19.843,0.8105,12.799
000000568584.jpg,10.3561,0.4353,13.026
000000568710.jpg,20.6512,0.7884,12.258
000000570736.jpg,19.1849,0.7493,12.278
000000573258.jpg,12.5755,0.5716,14.876
000000575243.jpg,6.487,0.2373,11.382
000000576654.jpg,17.6322,0.8181,12.141
000000578093.jpg,16.5766,0.7468,14.311
000000578500.jpg,13.4197,0.6107,7.509
000000580294.jpg,19.1663,0.7982,12.496
000000580418.jpg,12.8446,0.6697,12.669
